experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
Intermediario,Data Scientist,50 000 - 100 000,presencial,Germany,Grande
Senior,Machine Learning Scientist,100 000 - 300 000,presencial,Japan,Pequena
Senior,Big Data Engineer,100 000 - 300 000,parcial,United Kingdom,Média
Intermediario,Product Data Analyst,2 859 -  50 000,presencial,Honduras,Pequena
Senior,Machine Learning Engineer,100 000 - 300 000,parcial,United States,Grande
Junior,Data Analyst,50 000 - 100 000,distancia,United States,Grande
Senior,Lead Data Scientist,100 000 - 300 000,distancia,United States,Pequena
Intermediario,Data Scientist,2 859 -  50 000,parcial,Hungary,Grande
Intermediario,Business Data Analyst,100 000 - 300 000,distancia,United States,Grande
Senior,Lead Data Engineer,100 000 - 300 000,parcial,New Zealand,Pequena
Junior,Data Scientist,50 000 - 100 000,presencial,France,Pequena
Intermediario,Data Scientist,2 859 -  50 000,presencial,India,Grande
Junior,Data Scientist,2 859 -  50 000,presencial,France,Média
Intermediario,Lead Data Analyst,50 000 - 100 000,distancia,United States,Grande
Intermediario,Data Analyst,50 000 - 100 000,distancia,United States,Grande
Intermediario,Data Analyst,2 859 -  50 000,parcial,Pakistan,Grande
Junior,Data Engineer,2 859 -  50 000,distancia,Japan,Pequena
Senior,Big Data Engineer,100 000 - 300 000,distancia,United Kingdom,Pequena
Junior,Data Science Consultant,2 859 -  50 000,parcial,India,Média
Intermediario,Lead Data Engineer,50 000 - 100 000,distancia,United States,Média
Intermediario,Machine Learning Engineer,2 859 -  50 000,presencial,China,Média
Intermediario,Product Data Analyst,2 859 -  50 000,distancia,India,Grande
Senior,Data Engineer,2 859 -  50 000,parcial,Greece,Grande
Intermediario,BI Data Analyst,50 000 - 100 000,presencial,United States,Média
Intermediario,Lead Data Scientist,100 000 - 300 000,presencial,United Arab Emirates,Grande
Diretor,Director of Data Science,300 000 - 600 000,distancia,United States,Grande
Junior,Research Scientist,2 859 -  50 000,parcial,Netherlands,Grande
Senior,Data Engineer,2 859 -  50 000,presencial,Mexico,Pequena
Junior,Business Data Analyst,100 000 - 300 000,distancia,United States,Grande
Senior,Machine Learning Manager,100 000 - 300 000,parcial,Canada,Grande
Intermediario,Data Engineering Manager,50 000 - 100 000,distancia,Germany,Pequena
Junior,Big Data Engineer,50 000 - 100 000,distancia,United States,Grande
Senior,Data Scientist,50 000 - 100 000,distancia,United States,Grande
Intermediario,Research Scientist,300 000 - 600 000,presencial,United States,Média
Intermediario,Data Analyst,2 859 -  50 000,parcial,France,Grande
Intermediario,Data Engineer,50 000 - 100 000,parcial,Austria,Grande
Intermediario,Data Science Consultant,100 000 - 300 000,distancia,United States,Grande
Junior,Machine Learning Engineer,100 000 - 300 000,parcial,United States,Grande
Junior,Data Analyst,2 859 -  50 000,distancia,Nigeria,Pequena
Junior,Machine Learning Engineer,100 000 - 300 000,distancia,United States,Pequena
Intermediario,Data Scientist,2 859 -  50 000,distancia,United States,Pequena
Diretor,Data Engineering Manager,50 000 - 100 000,parcial,Spain,Grande
Intermediario,Machine Learning Infrastructure Engineer,50 000 - 100 000,presencial,Portugal,Média
Intermediario,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Engineer,100 000 - 300 000,parcial,United Kingdom,Grande
Junior,ML Engineer,2 859 -  50 000,distancia,Germany,Pequena
Intermediario,Data Scientist,50 000 - 100 000,distancia,United Kingdom,Pequena
Senior,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Engineer,50 000 - 100 000,parcial,France,Grande
Junior,Data Analyst,2 859 -  50 000,presencial,India,Pequena
Junior,Data Analyst,50 000 - 100 000,distancia,United States,Grande
Junior,AI Scientist,2 859 -  50 000,parcial,Denmark,Pequena
Junior,Data Engineer,50 000 - 100 000,distancia,Germany,Grande
Senior,Computer Vision Engineer,50 000 - 100 000,distancia,United States,Pequena
Senior,Principal Data Scientist,100 000 - 300 000,distancia,Germany,Média
Intermediario,Data Scientist,2 859 -  50 000,distancia,Spain,Média
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Senior,Data Scientist,100 000 - 300 000,parcial,United States,Grande
Intermediario,Data Scientist,100 000 - 300 000,distancia,United States,Média
Intermediario,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Data Engineer,100 000 - 300 000,distancia,United States,Média
Junior,Data Scientist,2 859 -  50 000,parcial,Italy,Pequena
Senior,Data Scientist,300 000 - 600 000,distancia,United States,Grande
Senior,Machine Learning Engineer,2 859 -  50 000,distancia,Croatia,Pequena
Junior,Data Scientist,50 000 - 100 000,parcial,Germany,Pequena
Junior,Data Scientist,2 859 -  50 000,presencial,Germany,Pequena
Senior,Data Science Manager,100 000 - 300 000,distancia,United States,Média
Junior,Data Scientist,100 000 - 300 000,distancia,United States,Pequena
Senior,Data Scientist,50 000 - 100 000,presencial,Austria,Pequena
Intermediario,Data Scientist,50 000 - 100 000,parcial,Luxembourg,Pequena
Intermediario,Data Scientist,2 859 -  50 000,parcial,France,Pequena
Junior,Research Scientist,50 000 - 100 000,parcial,United Kingdom,Grande
Diretor,BI Data Analyst,100 000 - 300 000,distancia,United States,Grande
Diretor,Head of Data,100 000 - 300 000,distancia,United States,Grande
Senior,Data Scientist,50 000 - 100 000,parcial,France,Grande
Intermediario,BI Data Analyst,100 000 - 300 000,distancia,United States,Média
Intermediario,3D Computer Vision Researcher,2 859 -  50 000,parcial,India,Média
Intermediario,ML Engineer,100 000 - 300 000,distancia,United States,Grande
Junior,Data Analyst,50 000 - 100 000,distancia,United States,Média
Senior,Data Analytics Engineer,50 000 - 100 000,distancia,Germany,Grande
Intermediario,Data Engineer,100 000 - 300 000,distancia,United States,Grande
Intermediario,Applied Data Scientist,50 000 - 100 000,parcial,Canada,Grande
Intermediario,Machine Learning Engineer,2 859 -  50 000,distancia,Spain,Pequena
Diretor,Director of Data Science,100 000 - 300 000,distancia,Poland,Grande
Intermediario,Data Engineer,2 859 -  50 000,distancia,Poland,Grande
Junior,Data Analyst,50 000 - 100 000,parcial,France,Média
Intermediario,Data Analytics Engineer,100 000 - 300 000,distancia,United States,Grande
Senior,Lead Data Analyst,100 000 - 300 000,distancia,United States,Grande
Senior,Data Analyst,50 000 - 100 000,distancia,United States,Pequena
Senior,Marketing Data Analyst,50 000 - 100 000,distancia,Denmark,Grande
Junior,Data Science Consultant,50 000 - 100 000,distancia,Germany,Pequena
Intermediario,Lead Data Analyst,2 859 -  50 000,distancia,India,Grande
Senior,Lead Data Engineer,100 000 - 300 000,presencial,United States,Grande
Junior,Data Scientist,2 859 -  50 000,parcial,India,Grande
Intermediario,Cloud Data Engineer,50 000 - 100 000,parcial,Singapore,Grande
